icao,iata,name,lat,lon,municipality,country
SWTS,TGQ,Tangará da Serra Airport,-14.662,-57.44374,Tangará da Serra,BR
SWTU,AZL,Fazenda Tucunaré Airport,-13.46553,-58.86693,Sapezal,BR
SWTV,,Fazenda Rio Preto Airport,-15.0541,-57.96837,Salto do Céu,BR
SWTY,,Taguatinga Airport,-12.43527,-46.40044,Taguatinga,BR
SWTZ,,Fazenda Santo Antônio - Zampieri Airport,-20.73913,-53.53552,Ribas do Rio Pardo,BR
SWUA,SQM,São Miguel do Araguaia Airport,-13.3313,-50.1976,São Miguel do Araguaia,BR
SWUD,,Cláudio Airport,-20.44583,-44.81278,Cláudio,BR
SWUE,,Fazenda Tapayuna Airport,-10.70642,-55.93303,Nova Canaã do Norte,BR
SWUK,,Uapuí Cachoeira Airport,1.19939,-69.21185,São Gabriel da Cachoeira,BR
SWUL,,Fazenda Furna Azul Airport,-6.21606,-48.42592,Ananás,BR
SWUQ,,Surucucu Airport,2.83528,-63.647,Alto Alegre,BR
SWUR,,Fazenda Vista Verde Airport,-8.49153,-44.38452,Palmeira Do Piauí,BR
SWUW,,Fazenda Okuhara Airport,-15.11095,-56.8367,Barra do Bugres,BR
SWUX,,Fazenda 4 Amigos Airport,-9.24484,-49.66694,Abreulândia,BR
SWUZ,,Brigadeiro Araripe Macedo Airport,-16.26174,-47.96872,Luziânia,BR
SWVC,VLP,Vila Rica Airport,-9.98106,-51.14036,Vila Rica,BR
SWVF,,Fazenda Santo Antônio Guaporé Airport,-16.00877,-59.92001,Vila Bela da Santíssima Trindade,BR
SWVH,,Fazenda Vaca Branca Airport,-9.52333,-56.23833,Alta Floresta,BR
SWVJ,,Fazenda Uiapuru Airport,-13.6665,-56.00256,Nova Mutum,BR
SWVK,,Fazenda Vale do Rio Celeste Airport,-13.03532,-55.32782,Nova Ubiratã,BR
SWVN,,Nova Era & Thomazi Agropecuárias Airport,-13.63402,-59.79605,Comodoro,BR
SWVS,,Baia do Padre Airport,-15.86197,-60.04039,Vila Bela da Santíssima Trindade,BR
SWVU,,Fazenda Ramalhete Airport,-21.73401,-54.57728,Rio Brilhante,BR
SWVV,,Fazenda Bela Vista Airport,-15.75513,-60.09574,Vila Bela da Santíssima Trindade,BR
SWVW,,Furnaspark Resort Airport,-20.53527,-45.60393,Formiga,BR
SWVX,,Fazenda Guariba Airstrip,-10.2415,-60.1409,Aripuanã,BR
SWVY,,Fazenda Carvalho Airport,-17.56806,-56.48224,Corumbá,BR
SWVZ,,EMAL - Empresa de Mineração Aripuanã Ltda Airport,-14.75,-56.35278,Nobres,BR
SWWA,,Porangatu Airport,-13.4048,-49.1583,Porangatu,BR
SWWE,,M. Baumann Airfield,-26.03618,-49.50029,Piên,BR
SWWF,,Hotel Baiazinha Airport,-16.56972,-57.83139,Cáceres,BR
SWWG,,Fazenda Canamari Airport,-18.54955,-50.38124,Quirinópolis,BR
SWWH,,Fazenda Marca Salto Airstrip,-21.9827,-53.904,Angélica,BR
SWWI,,Fazenda Fortaleza Airport,-15.67833,-53.5825,General Carneiro,BR
SWWM,,Mantena Airport,-18.77184,-40.94817,Mantena,BR
SWWN,,Fazenda Santa Amália Airport,-10.30785,-56.57909,Alta Floresta,BR
SWWT,,Sílvio Gonçalves de Mello Airport,-18.70564,-45.33539,Morada Nova de Minas,BR
SWWU,,Uruaçu Airport,-14.54472,-49.09111,Uruaçu,BR
SWWV,,Posto de Proteção Ambiental Santa Maria Airport,-16.70607,-56.03036,Barão de Melgaço,BR
SWWW,,Posto de Proteção Ambiental São Luiz Airport,-16.6891,-56.17686,Barão de Melgaço,BR
SWWX,,Posto de Proteção Ambiental São Joaquim Airport,-16.74679,-56.37101,Barão de Melgaço,BR
SWWY,,Posto de Proteção Ambiental Espírito Santo Airport,-16.5884,-56.28084,Barão de Melgaço,BR
SWWZ,,Darinha Airport,-4.10972,-38.24278,Cascavel,BR
SWXA,,Fazenda Canadazinho Airport,-15.04412,-51.40468,Jussara,BR
SWXB,,Fazenda Jangada Airstrip,-15.29745,-55.17572,Campo Verde,BR
SWXC,,Fazenda Tropical Airport,-12.88558,-61.2985,Cerejeiras,BR
SWXE,,PCH Paranatinga II Airport,-13.87761,-53.23889,Campinápolis,BR
SWXH,,Fazenda São Sebastião Airport,-13.06441,-46.25883,São Desidério,BR
SWXJ,,Chácara São José Airport,-15.59577,-56.00399,Cuiabá,BR
SWXM,MBK,Orlando Villas Boas Regional Airport,-10.17037,-54.95396,Matupá,BR
SWXN,,Fazenda Bom Jardim Airport,-17.24733,-51.27055,Montividiu,BR
SWXO,,Fazenda Porto Seguro Airport,-7.13821,-52.72814,São Félix do Xingu,BR
SWXP,,Fazenda Santa Luzia Airport,-13.73287,-58.88817,Sapezal,BR
SWXS,,Fazenda São João do Ibiporã Airport,-15.78469,-59.63665,Pontes e Lacerda,BR
SWXT,,Fazenda Medalha Milagrosa Airport,-16.10506,-60.06797,Vila Bela da Santíssima Trindade,BR
SWXU,,Xapuri Airport,-10.66372,-68.48587,Xapuri,BR
SWXV,NOK,Xavantina Airport,-14.69778,-52.34725,Nova Xavantina,BR
SWXW,,Fazenda São João do Guaporé Airport,-15.97361,-59.88922,Pontes E Lacerda,BR
SWXX,,Fazenda Canadá Airport,-18.8619,-48.423,Uberlândia,BR
SWXY,,Fazenda Vô Zeca Airport,-10.35575,-50.6768,Santa Terezinha,BR
SWXZ,,Fazenda Taquarussu Airport,-13.31002,-60.29326,Comodoro,BR
SWYC,,Jair Feliciano de Deus Airport,-15.6934,-58.10792,Mirassol d`Oeste,BR
SWYE,,Fazenda São Lourenço Airstrip,-29.55583,-55.78444,Alegrete,BR
SWYH,,Fazenda Aliança Airport,-15.29159,-58.31489,Araputanga,BR
SWYK,,Fazenda Ilha Camargo Airport,-17.0626,-56.5837,Poconé,BR
SWYM,,Fazenda Anhanguera Airport,-14.6425,-59.4491,Conquista d'Oeste,BR
SWYN,IUP,Apuí Airport,-7.17277,-59.8396,Apuí,BR
SWYO,,Usina Branco Peres Airport,-21.48292,-51.02556,Adamantina,BR
SWYP,,Fazenda Ribeiro do Céu Airport,-13.95532,-55.77899,Nova Mutum,BR
SWYR,,Fazenda Nossa Senhora do Pillar Airport,-15.34828,-58.79459,Jauru,BR
SWYS,,Usina Cerradão Airport,-19.92976,-49.12273,Frutal,BR
SWYU,,Fazenda Entre Rios Airport,-14.43971,-50.86458,Aruanã,BR
SWYV,,Clube Aerodesportivo de Ibirá Airport,-21.09149,-49.22425,Ibirá,BR
SWYW,,Fazenda Adriana Airport,-16.83406,-53.83648,Alto Garças,BR
SWYY,,Fazenda Nova Viena Airport,-14.88443,-52.27878,Nova Xavantina,BR
SWZA,,Agrosan Airport,-11.39756,-58.12152,Juara,BR
SWZB,,Fazenda Arara Azul Airport,-17.00547,-56.45964,Barão de Melgaço,BR
SWZC,,Fazenda Corixo Airport,-16.24533,-58.89444,Porto Esperidião,BR
SWZD,,Fazenda Denusa Destilaria Nova União Airport,-17.25583,-50.14267,Jandaia,BR
SWZE,,Fazenda Tamboril Airport,-15.05973,-59.37922,Pontes E Lacerda,BR
SWZG,,Fazenda Lagoa Encantada Airport,-16.0217,-58.89487,Porto Esperidião,BR
SWZL,ITI,Fazenda Americana Airport,-18.14759,-41.71504,Itambacuri,BR
SWZN,,Fazenda Francês Airport,-17.31477,-50.42499,Acreúna,BR
SWZO,,Fazenda Lagoa Funda Airport,-15.34079,-55.14077,Campo Verde,BR
SWZP,,Fazenda Vale Rico Airport,-16.38546,-54.20414,São José do Povo,BR
SWZQ,,Fazenda Jussara Airport,-15.84563,-51.07249,Jussara,BR
SWZS,,Fazenda Nova Larga Airport,-16.67016,-57.67526,Cáceres,BR
SWZT,,Fazenda do Brejo Airport,-19.255,-44.47333,Paraopeba,BR
SWZY,,Fazenda Sete Estrelas Airport,-11.57692,-58.23436,Brasnorte,BR
SYAG,,Anna Regina Airport,7.25658,-58.54567,Anna Regina,GY
SYAH,AHL,Aishalton Airport,2.47403,-59.32079,Aishalton,GY
SYAL,,Albion Airport,6.24662,-57.3796,Albion,GY
SYAN,NAI,Annai Airport,3.95944,-59.1242,Annai,GY
SYAP,,Apoteri Airport,4.01597,-58.60293,Apoteri,GY
SYAW,,Awaruwaunau Airport,2.64744,-59.19469,Awaruwaunau,GY
SYBE,BCG,Bemichi Airport,7.64021,-58.96179,Kumaka,GY
SYBG,,Baganara Airport.,6.34056,-58.59153,Banagara Island,GY
SYBL,,Blairmont Airport,6.25411,-57.54299,Blairmont,GY
SYBR,BMJ,Baramita Airport,7.3711,-60.48926,Baramita,GY
SYBS,,Fort Wellington Airport,6.37616,-57.60648,Bath Settlement,GY
SYBT,GFO,Bartica A Airport,6.35886,-58.65521,Bartica,GY
SYCJ,GEO,Cheddi Jagan International Airport,6.49855,-58.2541,Georgetown,GY
SYCP,,Cipo Airstrip,4.81955,-60.02562,,GY
SYDW,,Dadanawa Airport,2.82555,-59.5242,Dadanawa,GY
SYEB,,Ebini Airport,5.56855,-57.77521,Ebini,GY
SYEC,OGL,Eugene F. Correia International Airport,6.80588,-58.10766,Ogle,GY
SYEK,,Ekereku Bottom Airport,6.40033,-60.854,,GY
SYHC,,Krishna Sankar Airport,7.3121,-58.4873,Anna Regina,GY
SYIB,IMB,Imbaimadai Airport,5.70811,-60.2942,Imbaimadai,GY
SYKA,KAI,Kaieteur Airport,5.17735,-59.48898,Kaieteur Falls,GY
SYKE,,Kwebana Airport,7.55583,-59.14167,,GY
SYKI,,Kaow Island Airport,6.43312,-58.6225,Kaow Island,GY
SYKK,,Kurukabaru Airport,4.71532,-59.91045,Kurukabaru,GY
SYKM,KAR,Kamarang Airport,5.86534,-60.6142,Kamarang,GY
SYKN,,Kaikan Airport,6.17367,-61.14564,,GY
SYKR,KRM,Karanambo Airport,3.75257,-59.30902,Karanambo,GY
SYKS,KRG,Karasabai Airport,4.03005,-59.54749,Karasabai,GY
SYKT,KTO,Kato Airport,4.64916,-59.8322,Kato,GY
SYKW,,Kwakwani Airport,5.25925,-58.06518,Kwakwani,GY
SYKZ,KKG,Konawaruk Airport,5.2684,-58.995,Konawaruk,GY
SYLD,,Linden Airport,5.96592,-58.2703,Linden,GY
SYLP,LUB,Lumid Pau Airport,2.39393,-59.441,Lumid Pau,GY
SYLT,LTM,Lethem Airport,3.37276,-59.7894,Lethem,GY
SYMB,USI,Mabaruma Airport,8.20017,-59.77797,Mabaruma,GY
SYMD,MHA,Mahdia Airport,5.27285,-59.1493,Mahdia,GY
SYMK,VEG,Maikwak Airport,4.89817,-59.81703,Maikwak,GY
SYMM,MYM,Monkey Mountain Airport,4.45227,-59.60313,Monkey Mountain,GY
SYMN,,Manari Airport,3.433,-59.567,Manari,GY
SYMP,,Mountain Point Airport,2.99897,-59.62926,Mountain Point,GY
SYMR,MWJ,Matthews Ridge Airport,7.48774,-60.18524,Matthews Ridge,GY
SYMW,,Marurawana Airport,2.7287,-59.14973,Marurawana,GY
SYNA,QSX,New Amsterdam Airport,6.24432,-57.47417,New Amsterdam,GY
SYOR,ORJ,Orinduik Airport,4.72527,-60.035,Orinduik,GY
SYPK,PKM,Port Kaituma Airport,7.74222,-59.88261,Port Kaituma,GY
SYPL,PIQ,Pipillipai Airport,5.35667,-60.381,Pipillipai,GY
SYPM,PMT,Paramakatoi Airport,4.69959,-59.71384,Paramakatoi,GY
SYPR,PRR,Paruima Airport,5.81724,-61.05549,Paruima,GY
SYSC,SDC,Sand Creek Airport,2.9913,-59.51,Sand Creek,GY
SYSK,SKM,Skeldon Airport,5.85968,-57.14901,Skeldon,GY
SYTW,,Tassawani Airport,7.50383,-59.59074,,GY
SYVB,,Von Better Airport,6.25771,-57.65048,,GY
SYWI,,Wichabai Airport,2.86779,-59.53116,Wichabai,GY
SYYS,,Yakishuru Airport,7.36849,-59.74414,,GY
TAPA,ANU,V. C. Bird International Airport,17.1367,-61.7927,Osbourn,AG
TAPB,BBQ,Burton-Nibbs International Airport,17.62119,-61.79835,Codrington,AG
TAPT,,Coco Point Lodge Airstrip,17.5556,-61.7653,Coco Point,AG
TBPB,BGI,Grantley Adams International Airport,13.07467,-59.49103,Bridgetown,BB
TCYT,,Crystal Brook Airport,-17.38355,144.4509,,AU
TDCF,DCF,Canefield Airport,15.33669,-61.39211,Canefield,DM
TDPD,DOM,Douglas-Charles Airport,15.54667,-61.30108,Marigot,DM
TFFA,DSD,La Désirade Airport,16.2969,-61.0844,Grande Anse,GP
TFFB,BBR,Basse-Terre Baillif Airport,16.01365,-61.74293,Basse-Terre,GP
TFFC,SFC,St-François Airport,16.2578,-61.2625,St-François,GP
TFFF,FDF,Martinique Aimé Césaire International Airport,14.591,-61.0032,Fort-de-France,MQ
TFFG,SFG,Grand Case-l'Espérance Airport,18.10006,-63.04744,Grand Case,MF
TFFJ,SBH,St. Jean Airport,17.9044,-62.84333,Gustavia,BL
TFFM,GBJ,Marie-Galante Airport,15.86893,-61.27009,Grand-Bourg,GP
TFFR,PTP,Maryse Condé International Airport,16.26544,-61.53275,Pointe-à-Pitre,GP
TFFS,LSS,Terre-de-Haut Airport,15.8644,-61.5806,Les Saintes,GP
TGPY,GND,Maurice Bishop International Airport,12.004,-61.7853,Saint George's,GD
TGPZ,CRU,Lauriston Airport,12.4761,-61.4728,Carriacou Island,GD
TIST,STT,Cyril E. King Airport,18.33709,-64.97725,Charlotte Amalie,VI
TISX,STX,Henry E. Rohlsen Airport,17.70141,-64.80261,Christiansted,VI
TJAB,ARE,Antonio Nery Juarbe Pol Airport,18.45085,-66.67577,Arecibo,PR
TJBQ,BQN,Rafael Hernández International Airport,18.4949,-67.1294,Aguadilla,PR
TJCP,CPX,Benjamin Rivera Noriega Airport,18.31295,-65.30389,Culebra,PR
TJIG,SIG,Fernando Luis Ribas Dominicci Airport,18.4568,-66.0981,San Juan,PR
TJMZ,MAZ,Eugenio Maria De Hostos Airport,18.2557,-67.1485,Mayaguez,PR
TJPS,PSE,Mercedita International Airport,18.0083,-66.563,Ponce,PR
TJRV,NRR,José Aponte de la Torre Airport,18.24726,-65.63979,Ceiba,PR
TJSJ,SJU,Luis Munoz Marin International Airport,18.4394,-66.0018,San Juan,PR
TJVQ,VQS,Antonio Rivera Rodriguez Airport,18.1348,-65.4936,Vieques,PR
TKPK,SKB,Robert L. Bradshaw International Airport,17.31085,-62.71912,Basseterre,KN
TKPN,NEV,Vance W. Amory International Airport,17.2057,-62.5899,Charlestown,KN
TLPC,SLU,George F. L. Charles Airport,14.0202,-60.9929,Castries,LC
TLPL,UVF,Hewanorra International Airport,13.7332,-60.9526,Vieux Fort,LC
TNCA,AUA,Queen Beatrix International Airport,12.50106,-70.01428,Oranjestad,AW
TNCB,BON,Flamingo International Airport,12.131,-68.2685,Kralendijk,BQ
TNCC,CUR,Hato International Airport,12.1889,-68.9598,Willemstad,CW
TNCE,EUX,F. D. Roosevelt Airport,17.4965,-62.9794,Oranjestad,BQ
TNCM,SXM,Princess Juliana International Airport,18.041,-63.1089,Sint Maarten,SX
TNCS,SAB,Juancho E. Yrausquin Airport,17.64533,-63.22051,Zion's Hill,BQ
TQPF,AXA,Clayton J. Lloyd International Airport,18.20477,-63.05383,The Valley,AI
TRPG,MNI,John A. Osborne Airport,16.79183,-62.1932,Gerald's Park,MS
TTCP,TAB,A.N.R. Robinson International Airport,11.14957,-60.8313,Scarborough,TT
TTPP,POS,Piarco International Airport,10.59535,-61.33757,Port of Spain,TT
TUPA,NGD,Captain Auguste George Airport,18.72773,-64.32852,Anegada,VG
TUPJ,EIS,Terrance B. Lettsome International Airport,18.44549,-64.54171,Beef Island,VG
TUPW,VIJ,Virgin Gorda Airport,18.44663,-64.42793,Spanish Town,VG
TVSA,SVD,Argyle International Airport,13.15972,-61.1488,Kingstown,VC
TVSB,BQU,J F Mitchell Airport,12.9884,-61.262,Bequia,VC
TVSC,CIW,Canouan Airport,12.699,-61.3424,Canouan,VC
TVSM,MQS,Mustique Airport,12.8879,-61.1802,Lovell,VC
TVSU,UNI,Union Island International Airport,12.60013,-61.41195,Union Island,VC
TXKF,BDA,L.F. Wade International Airport,32.3638,-64.67824,Hamilton,BM
UAAA,ALA,Almaty International Airport,43.35427,77.04283,Almaty,KZ
UAAH,BXH,Balkhash Airport,46.89425,75.00453,Balkhash,KZ
UAAL,USJ,Usharal Airport,46.19077,80.83092,Usharal,KZ
UAAR,BXJ,Boralday Airport,43.35205,76.88304,Boralday,KZ
UAAT,TDK,Taldykorgan Airport,45.12255,78.44276,Taldykorgan,KZ
UABA,,Burana Airport,42.75369,75.33263,Burana village,KG
UACC,NQZ,Nursultan Nazarbayev International Airport,51.02703,71.46709,Astana,KZ
UACK,KOV,Kokshetau International Airport,53.3291,69.5946,Kokshetau,KZ
UACP,PPK,Petropavl International Airport,54.77562,69.18742,Petropavl,KZ
UACS,,Stepnogorsk Airport,52.32675,71.85565,Stepnogorsk,KZ
UADD,DMB,Taraz International Airport,42.8536,71.3036,Taraz,KZ
UAFA,,Tamga Airport,42.1531,77.5639,Tamga,KG
UAFE,,Kerben Airport,41.4845,71.7337,Kerben,KG
UAFF,,Tokmok Airport,42.8289,75.336,Tokmok,KG
UAFS,,Kyzyl-Kiya Airport,40.2717,72.0471,Kyzyl-Kiya,KG
UAFT,,Talas Airport,42.5059,72.2631,Talas,KG
UAFW,,Kant Air Base,42.8532,74.8465,Kant,KG
UAFZ,,Kazarman Airport,41.41029,74.04442,Kazarman,KG
UAII,CIT,Shymkent International Airport,42.36502,69.47564,Shymkent,KZ
UAIT,HSA,Hazrat Sultan International Airport,43.31109,68.55035,Turkıstan,KZ
UAKD,DZN,Zhezkazgan National Airport,47.70895,67.73809,Zhezkazgan,KZ
UAKK,KGF,Sary-Arka Airport,49.6708,73.3344,Karaganda,KZ
UAOL,BXY,Baikonur Krayniy International Airport,45.62199,63.21077,Baikonur,KZ
UAON,,Yubileyniy Airfield,46.05242,63.24918,Töretam,KZ
UAOO,KZO,Korkyt Ata International Airport,44.7069,65.5925,Kyzylorda,KZ
UARR,URA,Manshuk Mametova International Airport,51.15198,51.54365,Uralsk,KZ
UASA,,Ayaguz Airport,47.91922,80.45219,Ayaguz,KZ
UASB,EKB,Ekibastuz Airport,51.591,75.215,Ekibastuz,KZ
UASK,UKK,Oskemen International Airport,50.03503,82.49606,Ust-Kamenogorsk (Oskemen),KZ
UASP,PWQ,Pavlodar International Airport,52.19498,77.07309,Pavlodar,KZ
UASS,PLX,Semei International Airport,50.3513,80.2344,Semey,KZ
UASU,UZR,Urzhar Airport,47.09179,81.66822,Urzhar,KZ
UASZ,SZI,Zaysan Airport,47.48749,84.88768,Zaysan,KZ
UATA,,Aralsk Airport,46.82957,61.61244,Aralsk,KZ
UATE,SCO,Aktau International Airport,43.86009,51.09086,Aktau,KZ
UATG,GUW,Atyrau International Airport,47.12132,51.82034,Atyrau,KZ
UATR,,Shalkar Airport,47.905,59.62,Shalkar,KZ
UATT,AKX,Aktobe International Airport,50.24812,57.20414,Aktobe,KZ
UATZ,,Tengiz Airport,46.30167,53.42731,Tengiz,KZ
UAUR,AYK,Arkalyk North Airport,50.3186,66.9528,Arkalyk,KZ
UAUT,,Turgay Airport,49.6324,63.4703,Turgay,KZ
UAUU,KSN,Kostanay International Airport,53.2069,63.5503,Kostanay,KZ
UBBA,,Akstafa Airport,41.12362,45.42079,Akstafa,AZ
UBBB,GYD,Heydar Aliyev International Airport,40.47278,50.05093,Baku,AZ
UBBF,FZL,Fuzuli International Airport,39.59458,47.19613,Fuzuli,AZ
UBBG,GNJ,Ganja International Airport,40.73869,46.32038,Ganja,AZ
UBBH,,Khachmaz Airport,41.45915,48.83264,Khachmaz,AZ
UBBI,,Nasosnaya Air Base,40.5916,49.5574,Sumqayit,AZ
UBBL,LLK,Lankaran International Airport,38.75792,48.80704,Lankaran,AZ
UBBM,,Hajigabul Kazı Magomed Airport,40.03094,48.90276,Hajigabul,AZ
UBBN,NAJ,Nakhchivan International Airport,39.1888,45.4584,Nakhchivan,AZ
UBBQ,GBB,Gabala International Airport,40.80862,47.72539,Gabala,AZ
UBBS,,Khojaly Airport,39.9014,46.787,Khojaly,AZ
UBBY,ZTU,Zaqatala International Airport,41.55782,46.66946,Zaqatala,AZ
UBBZ,ZZE,Zangilan International Airport,39.11443,46.74392,Zangilan,AZ
UBEE,YLV,Yevlakh Airport,40.6319,47.1419,Yevlakh,AZ
UBEI,,Shaki Airport,41.13655,47.1595,Shaki,AZ
UBEN,,Naftalan Airport,40.51592,46.82948,Naftalan,AZ
UBEY,,Agjabedi Airport,40.02229,47.44935,Agjabedi,AZ
UBLC,LHL,Lachin International Airport,39.88379,46.36314,Lachin,AZ
